,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,topic
10,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,0.019409424461057576,4.160599126312179e-06,0.002834244622593269,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,0.2951537939332561,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,0.007600262604602322,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,0.0019000061106335072,4.160599126312179e-06,4.160599126312179e-06,0.6494573430820407,0.01122052536584586,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,0.01222885166103406,4.160599126312179e-06,4.160599126312179e-06,4.160599126312179e-06,neuroscience
11,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,0.011196819247904966,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,0.007558893219046708,0.22156041940766594,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,0.03314720830224635,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,0.31429924476058135,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,0.41174951304124335,9.95718410839568e-06,9.95718410839568e-06,9.95718410839568e-06,fraternities
12,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,0.0006145294240980969,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,0.020391901593684016,0.0005483843636382672,0.005597963909099394,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,0.0010837295208256737,0.029004941797356985,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,0.07497921569055177,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,0.0034351009676569684,1.0191602120000792e-05,1.0191602120000792e-05,0.8522941343631085,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,0.0006743886300804869,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,0.010927279246619863,1.0191602120000792e-05,1.0191602120000792e-05,1.0191602120000792e-05,theatre
13,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,0.0013145157988298899,0.0010216494305282872,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,0.028767337491739847,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,0.014556784972870381,0.2259764035676624,0.002306486206609442,1.0203040506147644e-05,1.0203040506147644e-05,0.0019002025167446938,0.0042828361923745875,0.0012730822069979735,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,0.010926723884155932,1.0203040506147644e-05,1.0203040506147644e-05,0.26317580725768386,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,0.0007692387702594925,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,0.44330040400228515,1.0203040506147644e-05,1.0203040506147644e-05,1.0203040506147644e-05,fraternities
14,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,0.00545862593856696,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,0.0007773351402976752,0.4129513993055717,0.0005626192574615139,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,0.0048203062446714705,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,0.006381121137036107,4.1634573350231655e-06,4.1634573350231655e-06,0.559627380835034,0.008030557318604923,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,0.0011991357853444575,4.1634573350231655e-06,4.1634573350231655e-06,4.1634573350231655e-06,neuroscience
15,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,0.00804406895747106,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,0.5624159193800701,0.0009170983281668523,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,0.004777237722476495,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,0.0027269118770558622,4.30746699409779e-06,4.30746699409779e-06,0.3931688860049548,0.0183135353217026,4.30746699409779e-06,4.30746699409779e-06,0.00032150856339972745,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,4.30746699409779e-06,0.007371765436006888,4.30746699409779e-06,0.0003008428492876457,0.0014526970116674838,neuroscience
16,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,0.017182732618978378,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,0.1354410765486863,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,0.07779994677001796,0.0015137047083511092,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,0.7616370781534699,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,0.0029150583451521862,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,0.0030459391657574088,9.67632686639062e-06,9.67632686639062e-06,9.67632686639062e-06,theatre
17,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,0.0004717259241276466,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,0.01469616350753126,5.253342439188722e-06,0.0006396349644697133,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,0.13878891518677325,0.0029059012049248,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,0.029682591432997688,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,0.011435052481560019,5.253342439188722e-06,5.253342439188722e-06,0.7838762209002812,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,5.253342439188722e-06,0.016744924507092154,5.253342439188722e-06,0.0005224694804789585,5.253342439188722e-06,religion
18,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,0.0004459077824266784,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,0.5366019817379166,3.2225838677667494e-06,0.001275205186955436,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,0.14338950018199514,0.00021248482994479665,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,0.0020219966358700596,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,0.004588741544575267,3.2225838677667494e-06,3.2225838677667494e-06,0.3067834370406242,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,0.004532506201774851,3.2225838677667494e-06,3.2225838677667494e-06,3.2225838677667494e-06,football
19,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,0.0039275679972124115,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,0.016145579504947792,9.806805923387791e-06,0.000940580767069073,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,0.001260687123469683,0.0017033418279922365,0.0363548488987293,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,0.07649370579130915,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,0.007569248212360881,9.806805923387791e-06,9.806805923387791e-06,0.8356246099320351,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,0.019538523678321935,9.806805923387791e-06,9.806805923387791e-06,9.806805923387791e-06,theatre
