,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,topic
10,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,0.02622584990306482,5.085176709935745e-06,0.005509215260113968,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,0.009725383292478558,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,0.0022890366757914397,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,0.0006902117643983013,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,0.9465093927226345,0.008171174812216955,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,5.085176709935745e-06,0.0006915840310343588,5.085176709935745e-06,5.085176709935745e-06,neuroscience
11,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,0.00622333132621136,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,0.006887929121470209,0.0008549434685767748,1.2169891688046487e-05,1.2169891688046487e-05,0.0005094374748853366,1.2169891688046487e-05,1.2169891688046487e-05,0.02198457201216572,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,0.014537147967027878,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,0.9433920408422151,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,0.005160311794990221,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,1.2169891688046487e-05,fraternities
12,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,0.028359650195919635,0.00076120035991242,0.012248877346143138,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,0.07150384647589407,1.245640259108483e-05,0.0021377558506765733,1.245640259108483e-05,0.0006835378873601607,1.245640259108483e-05,1.245640259108483e-05,0.0056892402600064755,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,0.0022905745129085287,1.245640259108483e-05,0.01074059568400004,0.8607702710102759,0.0006079461392950298,1.245640259108483e-05,1.245640259108483e-05,0.0026220240682307996,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,1.245640259108483e-05,0.0011858753264626489,theatre
13,1.24703828408652e-05,0.0015631759280082896,1.24703828408652e-05,0.003030190914431708,0.0011832107685283463,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,0.017129601617156858,1.24703828408652e-05,0.0011211775404082033,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,0.02032004055804302,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,0.936874601724658,0.0006450826842376815,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,0.01768398448225711,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,1.24703828408652e-05,fraternities
14,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,0.007304121456059,0.00022226683824587762,0.0011566659972630112,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,0.003780074713162168,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,0.001616541764511817,5.088670076130138e-06,0.003976792008537919,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,0.0008199391115639946,5.088670076130138e-06,5.088670076130138e-06,0.9750263329998857,0.005227102529486265,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,5.088670076130138e-06,0.00023407882347453176,5.088670076130138e-06,0.000463068975221546,5.088670076130138e-06,5.088670076130138e-06,neuroscience
15,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,0.007774211894855226,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,0.0003354050146415959,5.264681881662818e-06,5.264681881662818e-06,0.004367601637087845,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,0.0033426503677418773,5.264681881662818e-06,5.264681881662818e-06,0.00222543526855381,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,0.9634285416495922,0.01723758897918451,5.264681881662818e-06,5.264681881662818e-06,0.0006167194243956012,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,5.264681881662818e-06,0.0004823172162077451,5.264681881662818e-06,5.264681881662818e-06,neuroscience
16,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,0.02565242701748615,1.1826621725586985e-05,1.1826621725605448e-05,1.1826621725586985e-05,0.0016107620079930556,1.1826621725586985e-05,1.1826621725586985e-05,0.07047471307390378,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,0.0008065869940590346,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,0.020864487832410062,0.8669341660224134,0.0008351544741356473,1.1826621725586985e-05,1.1826621725586985e-05,0.012384117573752388,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,1.1826621725586985e-05,theatre
17,6.420751870121824e-06,0.0006120932378598325,6.420751870121824e-06,0.01246395957532521,6.420751870121824e-06,6.420751870121824e-06,6.420751870121824e-06,6.420751870121824e-06,6.420751870121824e-06,0.02358022169008484,6.420751870121824e-06,0.004930092488101309,6.420751870121824e-06,6.420751870121824e-06,6.420751870121824e-06,6.420751870121824e-06,0.021138529914179915,6.420751870121824e-06,6.420751870121824e-06,0.000483091536409786,0.002472293301896345,6.420751870121824e-06,6.420751870121824e-06,0.003583198373103596,6.420751870121824e-06,6.420751870121824e-06,6.420751870121824e-06,6.420751870121824e-06,6.420751870121824e-06,6.420751870121824e-06,0.006191188874126619,6.420751870121824e-06,6.420751870121824e-06,0.9213183691542152,0.0012922315379494099,6.420751870121824e-06,6.420751870121824e-06,6.420751870121824e-06,6.420751870121824e-06,6.420751870121824e-06,6.420751870121824e-06,6.420751870121824e-06,0.0017228455050338261,6.420751870121824e-06,6.420751870121824e-06,religion
18,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,0.5880037302645085,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,0.002549523766047683,3.9387136161571775e-06,0.0018776095020743614,3.9387136161571775e-06,0.0015971756077954964,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,0.39894120542158135,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,0.006877145606962582,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,3.9387136161571775e-06,football
19,1.1986096128587028e-05,0.0038268238179788167,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,0.022268690678798976,0.004241196583785769,0.004721951770344306,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,0.056506312342055956,1.1986096128587028e-05,0.001368804175111322,0.0011888075746293075,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,0.004117251272189025,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,0.003400895698071035,1.1986096128587028e-05,0.025065248989190565,0.8626311610153139,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,1.1986096128587028e-05,0.010267314910287775,theatre
