,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,topic
10,6.538084341344102e-06,6.538084341344102e-06,6.538084341344143e-06,6.538084341344156e-06,6.538084341344102e-06,6.538084341344102e-06,6.538084341344102e-06,6.538084341344102e-06,6.538084341344102e-06,0.025967164608929057,6.5380843413441766e-06,6.538084341344153e-06,6.538084341344102e-06,6.538084341344102e-06,6.538084341344105e-06,6.538084341344102e-06,6.538084341344102e-06,6.538084341344102e-06,6.538084341344186e-06,6.538084341344112e-06,0.09654570650803333,6.538084341344102e-06,6.538084341344102e-06,6.538084341344144e-06,6.538084341344184e-06,0.0025518105853687017,6.538084341344102e-06,6.538084341344102e-06,6.538084341344102e-06,6.538084341344102e-06,0.023060714051241365,6.538084341344102e-06,6.53808434134411e-06,0.8474919995164085,0.004193000284120166,neuroscience
11,1.5647003598918995e-05,1.5647003598918995e-05,1.5647003598918995e-05,0.005866556888085857,1.5647003598918995e-05,1.5647003598918995e-05,1.5647003598918995e-05,1.5647003598918995e-05,1.5647003598918995e-05,0.00738661533358329,0.002796510773631192,1.5647003598919022e-05,1.5647003598918995e-05,1.5647003598918995e-05,0.0005791314168374464,1.5647003598918995e-05,1.5647003598918995e-05,1.5647003598918995e-05,1.564700359891904e-05,1.564700359891937e-05,0.039315853644356746,1.5647003598918995e-05,1.5647003598918995e-05,0.002000816215524182,1.564700359891906e-05,0.0199484160425119,1.5647003598918995e-05,1.5647003598918995e-05,1.5647003598918995e-05,1.5647003598918995e-05,1.5647003598919232e-05,1.5647003598918995e-05,1.5647003598918995e-05,0.9216836305882986,1.564700359891904e-05,fraternities
12,1.6015374759969583e-05,1.6015374759969583e-05,1.6015374759970095e-05,1.6015374759969756e-05,1.6015374759969583e-05,1.6015374759969583e-05,1.6015374759969583e-05,1.6015374759969583e-05,1.6015374759969583e-05,0.021742608517750922,0.0016555013298755906,0.0062324463004452164,1.6015374759969583e-05,1.6015374759969583e-05,1.6015374759969583e-05,1.6015374759969583e-05,1.6015374759969583e-05,1.6015374759969583e-05,0.0008097233263131644,0.0022577446506913857,0.004722215758328786,1.6015374759969583e-05,1.6015374759969583e-05,0.0014063335030227954,1.6015374759970294e-05,0.019910077400810574,1.6015374759969583e-05,1.6015374759969583e-05,1.6015374759969583e-05,1.6015374759969583e-05,0.1614027259460898,1.6015374759969583e-05,1.6015374759969895e-05,0.7794602388976726,1.6015374759969756e-05,theatre
13,1.6033349366827874e-05,0.0011746697407452472,1.603334936682788e-05,0.0028032560356650044,1.6033349366827874e-05,1.6033349366827874e-05,1.6033349366827874e-05,1.6033349366827874e-05,1.6033349366827874e-05,0.0215837129139854,1.603334936682796e-05,1.6033349366828497e-05,1.6033349366827874e-05,1.6033349366827874e-05,1.603334936682818e-05,1.6033349366827874e-05,1.6033349366827874e-05,1.6033349366827874e-05,1.6033349366827972e-05,0.015167548500754363,0.010379884076913731,1.6033349366827874e-05,1.6033349366827874e-05,0.007818773004754483,0.0037184783364949824,1.6033349366828145e-05,1.6033349366827874e-05,1.6033349366827874e-05,1.6033349366827874e-05,1.6033349366827874e-05,0.003683659120853803,1.6033349366827874e-05,1.603334936682788e-05,0.9317911711515967,0.0014780133840656,fraternities
14,6.542575812165397e-06,6.542575812165397e-06,6.5425758121654e-06,6.542575812165433e-06,6.542575812165397e-06,6.542575812165397e-06,6.542575812165397e-06,6.542575812165397e-06,6.542575812165397e-06,0.006565621984345388,6.542575812165472e-06,6.542575812165485e-06,6.542575812165397e-06,6.542575812165397e-06,6.5425758121654e-06,6.542575812165397e-06,6.542575812165397e-06,6.542575812165397e-06,6.542575812165405e-06,6.542575812165397e-06,0.13914542524052895,6.542575812165397e-06,6.542575812165397e-06,0.000919351729837218,6.542575812165475e-06,0.0005886736328414029,0.00023553272915180986,6.542575812165397e-06,6.542575812165397e-06,6.542575812165397e-06,0.015816187049018434,6.542575812165397e-06,6.542575812165416e-06,0.832065256768665,0.004487301318683244,neuroscience
15,6.768876704994116e-06,6.768876704994036e-06,6.768876704994072e-06,6.768876704994067e-06,6.768876704994036e-06,6.768876704994036e-06,6.768876704994036e-06,6.768876704994036e-06,6.768876704994036e-06,0.00801851192335497,0.0007005348445635638,6.768876704994084e-06,6.768876704994036e-06,6.768876704994036e-06,0.0003830526424384219,6.768876704994036e-06,6.768876704994036e-06,6.768876704994036e-06,6.768876704994101e-06,6.768876704994036e-06,0.26136412299310524,6.768876704994036e-06,6.768876704994036e-06,0.0005262191661381115,6.768876704994097e-06,0.001777827182952439,6.768876704994036e-06,6.768876704994036e-06,6.768876704994036e-06,6.768876704994036e-06,0.014076558402412698,6.768876704994036e-06,6.768876704994036e-06,0.6988920037906261,0.014085178260078563,neuroscience
16,1.520565650431609e-05,1.520565650431609e-05,1.5205656504316261e-05,1.5205656504316167e-05,1.520565650431609e-05,1.520565650431609e-05,1.520565650431609e-05,1.520565650431609e-05,1.520565650431609e-05,0.02191934151316866,0.000801083105795383,0.006780694236485034,1.520565650431609e-05,1.520565650431609e-05,0.0016255332279512776,1.520565650431609e-05,1.520565650431609e-05,1.520565650431609e-05,1.5205656504316285e-05,1.520565650431612e-05,0.06830122246551362,1.520565650431609e-05,1.520565650431609e-05,1.5205656504316112e-05,1.5205656504316151e-05,0.03455508643410946,1.520565650431609e-05,1.520565650431609e-05,1.520565650431609e-05,1.520565650431609e-05,0.11706982981752034,1.520565650431609e-05,1.520565650431609e-05,0.7485366564738397,1.5205656504316256e-05,theatre
17,8.255252404433386e-06,8.255252404433386e-06,8.25525240443349e-06,0.011716172286111033,8.255252404433386e-06,8.255252404433386e-06,8.255252404433386e-06,8.255252404433386e-06,8.255252404433386e-06,0.016823654568062403,0.0006236078533359836,8.255252404433429e-06,8.255252404433386e-06,8.255252404433386e-06,8.255252404433501e-06,8.255252404433386e-06,8.255252404433386e-06,8.255252404433386e-06,8.255252404433498e-06,0.0005856071513491328,0.03767478911616401,8.255252404433386e-06,8.255252404433386e-06,0.0014796988400893017,8.255252404433474e-06,0.013711659028510098,8.255252404433386e-06,8.255252404433386e-06,8.255252404433386e-06,8.255252404433386e-06,0.08046600003464205,8.255252404433386e-06,8.255252404433388e-06,0.8338346334153935,0.0028777963962315716,religion
18,5.064060363633615e-06,5.064060363633597e-06,5.064060363633615e-06,5.064060363633597e-06,5.064060363633597e-06,5.064060363633597e-06,5.064060363633597e-06,5.064060363633597e-06,5.064060363633597e-06,0.5766531139009832,5.064060363633795e-06,5.064060363633645e-06,5.064060363633597e-06,5.064060363633597e-06,5.0640603636336355e-06,5.064060363633597e-06,5.064060363633597e-06,5.064060363633597e-06,0.00112844331053565,5.064060363633597e-06,0.0219114018442064,5.064060363633597e-06,5.064060363633597e-06,0.00026087583180374745,5.064060363633655e-06,0.0017306277563410425,5.0640603636336135e-06,5.064060363633748e-06,5.064060363633597e-06,5.064060363633597e-06,0.005203449973950326,5.064060363633597e-06,5.06406036363361e-06,0.3927746595179543,0.000200698234407185,football
19,1.541069502247956e-05,1.541069502247956e-05,1.541069502247961e-05,1.5410695022479747e-05,1.541069502247956e-05,1.541069502247956e-05,1.541069502247956e-05,1.541069502247956e-05,1.541069502247956e-05,0.02230150570809556,0.004786761413283399,1.5410695022479724e-05,1.541069502247956e-05,1.541069502247956e-05,1.5410695022479808e-05,1.541069502247956e-05,1.541069502247956e-05,1.541069502247956e-05,0.0013662473261222725,0.0016330815079263388,0.0029700506279984186,1.541069502247956e-05,1.541069502247956e-05,1.5410695022480008e-05,1.5410695022479635e-05,0.01772047638384548,1.541069502247956e-05,1.541069502247956e-05,1.541069502247956e-05,1.541069502247956e-05,0.15067341309852023,1.541069502247956e-05,1.541069502247957e-05,0.7981323751686014,1.5410695022479676e-05,theatre
