,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,topic
10,7.627765064902874e-06,7.627765064902874e-06,7.627765064907034e-06,7.627765064902874e-06,7.627765064903947e-06,7.627765064902874e-06,7.627765064902874e-06,0.005745246046779919,7.627765064902874e-06,0.030447126433010036,7.627765064909091e-06,0.007890733590064895,7.627765064902874e-06,7.627765064906202e-06,7.627765064902874e-06,7.627765064902874e-06,7.627765064902874e-06,7.627765064903574e-06,7.62776506491093e-06,0.003113116666616973,0.9270026677262867,7.627765064902874e-06,7.627765064902874e-06,0.014657213281845556,7.627765064904129e-06,0.010703822183662157,7.627765064902874e-06,0.0002722632403055355,7.627765064909703e-06,7.627765064902874e-06,neuroscience
11,1.825483753206197e-05,1.8254837532063866e-05,1.825483753206319e-05,1.825483753206197e-05,1.825483753206197e-05,1.825483753206197e-05,1.825483753206197e-05,1.82548375320766e-05,1.825483753206197e-05,0.019862003015294585,0.0009848995271697321,1.8254837532076788e-05,1.825483753206197e-05,1.825483753209406e-05,1.825483753206197e-05,1.825483753206197e-05,1.825483753206197e-05,1.8254837532063744e-05,1.825483753207511e-05,0.0024269728271594515,0.4386926856575976,1.825483753206197e-05,1.825483753206197e-05,0.5134009207901142,1.825483753206874e-05,0.02419440208189471,1.825483753206197e-05,1.825483753206197e-05,1.825483753206197e-05,1.825483753206197e-05,fraternities
12,1.868460388660575e-05,1.868460388660575e-05,1.86846038866339e-05,1.868460388660575e-05,1.8684603886609497e-05,1.868460388660575e-05,1.868460388660575e-05,1.868460388660575e-05,1.868460388660575e-05,0.03894822212307316,0.008198585069368863,0.028133541339301453,1.868460388660575e-05,0.0029666995525865778,1.868460388660575e-05,1.868460388660575e-05,1.868460388660575e-05,1.868460388662641e-05,1.8684603886656412e-05,0.022665316383727756,0.7787332711075489,1.868460388660575e-05,1.868460388660575e-05,0.044918340565237753,1.8684603886739496e-05,0.0750249625736501,1.868460388660575e-05,1.8684603886609805e-05,1.868460388660695e-05,1.868460388660575e-05,theatre
13,1.8705574261318854e-05,1.870557426139035e-05,1.870557426131917e-05,1.8705574261318854e-05,1.870557426131931e-05,1.8705574261318854e-05,1.8705574261318854e-05,1.8705574261318854e-05,1.8705574261318854e-05,0.03730433654071363,1.8705574261334392e-05,1.870557426135954e-05,1.8705574261318854e-05,1.8705574261365377e-05,1.8705574261318854e-05,1.8705574261318854e-05,1.8705574261318854e-05,1.8705574261318854e-05,1.870557426133627e-05,0.0014000105039741213,0.40472349010428016,1.8705574261318854e-05,1.8705574261318854e-05,0.5527669736305875,0.0033375498639114567,1.870557426136075e-05,1.8705574261318854e-05,1.8705574261318854e-05,1.87055742613621e-05,1.8705574261318854e-05,fraternities
14,7.633005114199892e-06,7.633005114199892e-06,7.633005114200135e-06,7.633005114199904e-06,7.63300511420044e-06,7.633005114199892e-06,7.633005114199892e-06,0.0058445815770129085,7.633005114199892e-06,0.01175540718325055,7.633005114205307e-06,0.002497592122864975,7.633005114199892e-06,7.633005114201988e-06,7.633005114199892e-06,7.633005114199892e-06,7.633005114199892e-06,7.633005114200168e-06,7.633005114201054e-06,0.003992019725788162,0.9602733709841555,7.633005114208585e-06,7.633005114199892e-06,0.011898542193738404,7.633005114201478e-06,0.0035629270955622122,7.633005114199892e-06,7.633005114199892e-06,7.63300511420348e-06,7.633005114199892e-06,neuroscience
15,7.897022822500355e-06,7.897022822500355e-06,7.897022822506421e-06,7.897022822500355e-06,7.89702282250036e-06,7.897022822500355e-06,7.897022822500355e-06,0.013143940177658856,7.897022822500355e-06,0.011153251989615937,0.0006113524901093983,0.0026099684381513588,7.897022822500355e-06,7.897022822510718e-06,7.897022822500355e-06,7.897022822500355e-06,7.897022822500355e-06,7.897022822500624e-06,7.897022822510238e-06,0.004521897647230833,0.9510189484142879,7.897022822500355e-06,7.897022822500355e-06,0.014542338172465061,7.89702282250648e-06,0.0019845581126817177,7.897022822500355e-06,0.00024790707852599556,7.897022822506552e-06,7.897022822500355e-06,neuroscience
16,1.773993258838694e-05,1.773993258838694e-05,1.7739932588388445e-05,1.773993258838694e-05,1.773993258838694e-05,1.773993258838694e-05,1.773993258838694e-05,1.773993258838694e-05,1.773993258838694e-05,0.03918072772737372,0.01726701858762748,0.0054150465564392295,1.773993258838694e-05,1.773993258840845e-05,1.773993258838694e-05,1.773993258838694e-05,1.773993258838694e-05,1.7739932588395503e-05,0.001614265746178501,0.017810529519525952,0.8223072365363456,1.773993258838694e-05,1.773993258838694e-05,0.016433056816108696,1.7739932588422594e-05,0.07958183999345614,1.773993258838694e-05,1.773993258839103e-05,1.773993258840097e-05,1.773993258838694e-05,theatre
17,9.631127805177628e-06,9.631127805215954e-06,9.631127805181358e-06,9.631127805177628e-06,9.631127805177752e-06,9.631127805177628e-06,9.631127805177628e-06,9.631127805177628e-06,9.631127805177628e-06,0.027518526618738746,0.000624509199266736,0.007944449433851287,9.631127805177628e-06,0.00601746321708609,9.631127805177628e-06,9.631127805177628e-06,9.631127805177628e-06,9.631127805177897e-06,9.631127805190196e-06,0.009558944308519593,0.8464182560256305,9.631127805177628e-06,9.631127805177628e-06,0.08656870930623847,9.631127805190469e-06,0.015137257078954483,9.631127805177628e-06,9.631127805228441e-06,9.631127805198475e-06,9.631127805177628e-06,religion
18,5.908070424238801e-06,5.908070424238801e-06,5.9080704242407485e-06,5.908070424238801e-06,5.9080704242390925e-06,5.908070424238801e-06,5.908070424238801e-06,5.908070424238815e-06,5.908070424238801e-06,0.6198793908996103,0.0005055824233602273,5.90807042424892e-06,5.908070424238801e-06,5.908070424243424e-06,5.908070424238801e-06,5.908070424238801e-06,5.908070424238801e-06,5.908070424238801e-06,0.0007852444962182111,0.0005244661363058087,0.328051706530667,5.908070424238801e-06,5.908070424238801e-06,0.05011181582365616,5.9080704242471215e-06,5.908070424250017e-06,5.908070424238801e-06,5.908070424240222e-06,5.908070424239585e-06,5.908070424238801e-06,football
19,1.797914419288545e-05,0.003542573397387016,1.7979144192890587e-05,1.797914419288545e-05,1.79791441928863e-05,1.797914419288545e-05,1.797914419288545e-05,1.797914419288545e-05,1.797914419288545e-05,0.031813813973861065,0.012730027262861836,0.010965683427923902,1.797914419288545e-05,0.00423052895488854,1.797914419288545e-05,1.797914419288545e-05,1.797914419288545e-05,0.007275252391397093,0.001051742062447306,0.004851215255564679,0.8113907616724805,1.797914419288545e-05,1.797914419288545e-05,0.04749314985676852,1.7979144192890902e-05,0.06431364800475496,1.797914419288545e-05,1.7979144192886166e-05,1.7979144192890563e-05,1.797914419288545e-05,theatre
20,6.038647343042508e-06,6.038647343042508e-06,6.038647343044158e-06,6.038647343042508e-06,6.038647343044891e-06,6.038647343042508e-06,6.038647343042508e-06,6.03864734304254e-06,6.038647343042508e-06,0.5154159440562763,0.003909526456286614,0.0007160714494143603,6.038647343042508e-06,6.038647343050582e-06,6.038647343042508e-06,6.038647343042508e-06,6.038647343042508e-06,6.038647343042815e-06,0.005944875503092554,0.005088106484371326,0.3857737423021058,6.038647343042508e-06,6.038647343042508e-06,0.07385936031403983,0.00042093978517488345,0.008744622055034179,6.038647343042508e-06,6.038647343042727e-06,6.038647343043466e-06,6.038647343042508e-06,football
21,1.8335166850134366e-05,1.8335166850137605e-05,1.8335166850138255e-05,1.8335166850134366e-05,1.833516685014026e-05,1.8335166850134366e-05,1.8335166850134366e-05,1.8335166850134366e-05,1.8335166850134366e-05,0.006798683512230497,0.0052126997038904,1.833516685015617e-05,1.8335166850134366e-05,0.0014656937794550631,1.8335166850134366e-05,1.8335166850134366e-05,1.8335166850134366e-05,1.8335166850134366e-05,0.0009969193218837423,0.004192439663121554,0.4901633174602439,1.8335166850134366e-05,1.8335166850134366e-05,0.4848351472593362,1.8335166850140827e-05,0.005931725629135821,1.8335166850134366e-05,1.833516685015061e-05,1.8335166850137696e-05,1.8335166850134366e-05,fraternities
22,1.2766500702273177e-05,1.2766500702273177e-05,1.2766500702277722e-05,1.2766500702273177e-05,0.0004000902924117606,1.2766500702273177e-05,1.2766500702273177e-05,1.276650070227748e-05,1.2766500702273177e-05,0.01004426402880194,1.2766500702302366e-05,1.2766500702282293e-05,1.2766500702273177e-05,0.00044588147166487233,1.2766500702273177e-05,1.2766500702273177e-05,1.2766500702273177e-05,1.276650070227357e-05,1.2766500702287067e-05,0.014774170584375529,0.9650639176033762,1.2766500702273177e-05,1.2766500702273177e-05,0.005577706688053078,1.276650070228014e-05,0.003400339815164367,1.2766500702273177e-05,1.2766500702273887e-05,1.2766500702276723e-05,1.2766500702273177e-05,computer
23,8.350033400220877e-06,8.350033400220877e-06,8.350033400222442e-06,8.350033400220877e-06,8.350033400220933e-06,8.350033400220877e-06,8.350033400220877e-06,8.350033400221104e-06,8.350033400220877e-06,0.010536908469330987,0.00020193477696712835,0.008276355954369643,8.350033400220877e-06,0.002645968025035535,8.350033400220877e-06,8.350033400220877e-06,8.350033400220877e-06,8.350033400221407e-06,0.001024444569420611,0.003729528354603621,0.877735231278036,8.350033400228573e-06,8.350033400220877e-06,0.07326654134059048,0.001117813402077632,0.021298273161564057,8.350033400220877e-06,8.350033400224228e-06,8.35003340022101e-06,8.350033400220877e-06,religion
