,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,topic
10,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,0.00023298104696416273,4.576659038943302e-06,0.009962999026838414,4.576659038943302e-06,0.021616806038331406,4.576659038943302e-06,0.005606842708035462,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,0.0006013996355512931,4.576659038943302e-06,0.1345071639741546,4.576659038943302e-06,4.576659038943302e-06,0.0026480299481921625,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,0.01567481389546682,4.576659038943302e-06,4.576659038943302e-06,0.7973322315800916,0.011633665784816088,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,4.576659038943302e-06,neuroscience
11,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,0.023405133194554558,1.0952902519248116e-05,0.00719811440203537,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,0.08384526578671525,1.0952902519248116e-05,1.0952902519248116e-05,0.00427053874402935,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,0.0014924473438717516,1.0952902519248116e-05,1.0952902519248116e-05,0.8516765582138396,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,1.0952902519248116e-05,0.027640967506626493,1.0952902519248116e-05,fraternities
12,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,0.06760628025730771,1.1210762332015186e-05,0.022567911362947,1.1210762332015186e-05,0.013953297445650535,1.1210762332015186e-05,0.0024403069926589587,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,0.002426732570639064,0.009351895497334617,1.1210762332015186e-05,1.1210762332015186e-05,0.010155594981286419,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,0.009600117891267013,1.1210762332015186e-05,0.013125005301883643,0.8433352285646957,1.1210762332015186e-05,1.1210762332015186e-05,0.0019842181563770106,1.1210762332015186e-05,1.1210762332015186e-05,0.0030274020093357477,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,1.1210762332015186e-05,theatre
13,1.1223344556769586e-05,0.001637728398900987,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,0.019970070883509942,1.1223344556769586e-05,0.001180000159535904,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,0.013683327170051171,0.04373273200011145,1.1223344556769586e-05,1.1223344556769586e-05,0.001538559697542295,0.0012928171462037916,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,0.9015656113072001,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,0.0009134664584466403,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,1.1223344556769586e-05,0.014036752996226923,1.1223344556769586e-05,fraternities
14,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,0.0021749106351725916,4.579803068517973e-06,0.006712253269891243,0.0002351832681797417,0.000901974676230082,4.579803068517973e-06,0.0011268936339155218,4.579803068517973e-06,4.579803068517973e-06,0.0002603735696389053,4.579803068517973e-06,4.579803068517973e-06,0.00023518112233487993,0.20683883740949888,4.579803068517973e-06,4.579803068517973e-06,0.007793993495048955,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,0.006940627458630511,4.579803068517973e-06,0.0031342847481810915,0.7555393559790416,0.007936678020700643,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,4.579803068517973e-06,neuroscience
15,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,0.0002780766186563287,4.73821369349924e-06,0.0036671635158304432,4.73821369349924e-06,0.009240097403763503,0.0003900420441272434,0.0015789965249975739,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,0.0009364421959171101,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,0.3962588420171655,4.73821369349924e-06,4.73821369349924e-06,0.0022898274654819606,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,0.005716110241974221,4.73821369349924e-06,4.73821369349924e-06,0.5622848743751451,0.016925748140769924,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,4.73821369349924e-06,0.00025372733581804024,4.73821369349924e-06,neuroscience
16,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,0.06873313019100666,1.0643959553023757e-05,0.020434498097329237,1.0643959553023757e-05,0.003687679366172019,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,0.09480105679351909,1.0643959553023757e-05,1.0643959553023757e-05,0.008730070940701046,1.0643959553023757e-05,0.0028720309593999183,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,0.008672341065476218,1.0643959553023757e-05,0.027161605328806664,0.7511975369235285,1.0643959553023757e-05,1.0643959553023757e-05,0.0020789460291893067,0.009657762026712846,1.0643959553023757e-05,0.0015688718151435613,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,1.0643959553023757e-05,theatre
17,5.778676683108242e-06,0.000488467208080152,5.778676683108242e-06,5.778676683108242e-06,5.778676683108242e-06,5.778676683108242e-06,5.778676683108242e-06,0.02598425586457046,5.778676683108242e-06,0.016140644689320173,0.0014066669678849935,5.778676683108242e-06,5.778676683108242e-06,0.001280035218740969,5.778676683108242e-06,5.778676683108242e-06,0.0016516672407511893,5.778676683108242e-06,5.778676683108242e-06,0.0005836299393809118,0.06878691497529159,5.778676683108242e-06,5.778676683108242e-06,0.006840626479347345,5.778676683108242e-06,5.778676683108242e-06,5.778676683108242e-06,5.778676683108242e-06,5.778676683108242e-06,5.778676683108242e-06,0.030877773321155592,5.778676683108242e-06,5.778676683108242e-06,0.8378268640360792,5.778676683108242e-06,5.778676683108242e-06,0.004588040550010808,5.778676683108242e-06,5.778676683108242e-06,0.0033306024721115783,5.778676683108242e-06,5.778676683108242e-06,5.778676683108242e-06,5.778676683108242e-06,5.778676683108242e-06,5.778676683108242e-06,5.778676683108242e-06,5.778676683108242e-06,5.778676683108242e-06,5.778676683108242e-06,religion
18,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,0.5383329027541518,3.5448422545447935e-06,0.0017877532677587319,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,0.00020487480610352845,3.5448422545447935e-06,0.0011223920089142476,3.5448422545447935e-06,0.05040921452666943,3.5448422545447935e-06,3.5448422545447935e-06,0.0002260479068795175,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,0.0003923526686941315,3.5448422545447935e-06,3.5448422545447935e-06,0.40737557868613733,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,3.5448422545447935e-06,football
19,1.078748651573124e-05,0.003926182044557101,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,0.05692539230710564,1.078748651573124e-05,0.017664243073594117,0.0023393392077781573,0.004158872307685143,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,0.00979423419790852,0.0015044544356021877,0.002310173107598112,0.006119022787661845,1.078748651573124e-05,1.078748651573124e-05,0.006510869915837179,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,0.015749633724589814,1.078748651573124e-05,0.02665900094068735,0.8459394449483129,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,1.078748651573124e-05,theatre
20,3.623188405828246e-06,3.623188405828246e-06,0.0005777943227639776,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,0.007034633612283773,3.623188405828246e-06,0.4136913197552805,0.002762205925561676,0.0006967870632084903,3.623188405828246e-06,0.013658243904789421,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,0.0016035416841375751,3.623188405828246e-06,0.009912853679902332,3.623188405828246e-06,3.623188405828246e-06,0.001456916469849118,0.0002172739144935661,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,0.004187332594576318,3.623188405828246e-06,0.00022003978818703948,0.5427888108041485,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,0.00018690325585796598,3.623188405828246e-06,0.000878531630755309,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,3.623188405828246e-06,football
